Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Project: Primary PI: Full Name,Project: Other Principal Investigators,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date
JPAL Learning for All (LAI) - GUARDIAN,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,GUARDIAN - School drop out Guatemala,Eric Victor Edmonds,PI: Mauricio Romero,3/5/2025,0,1,LAC-Other,0,Allocation,3/5/2025
Climate insurance IOM - USAID Guatemala,International Organization for Migration,Grant Proposal,Climate insurance Guatemala,,,2/18/2022,0,1,LAC-Other,0,Allocation,2/18/2022
UCLA-22-20014: UCLA for PRG Mining in SL (Phases 1 & 2) (Sierra Leone),"University of California, Los Angeles",Grant Award,Mining in Sierra Leone,Darin Christensen,PI: Jihae Hong,2/7/2022,1,1,Sierra Leone,0,Allocation,8/18/2022
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,Mining in Sierra Leone,Darin Christensen,PI: Jihae Hong,9/1/2020,1,1,Sierra Leone,0,Internal Subaward,9/1/2020
UCLA For SL Mining,"University of California, Los Angeles",Grant Proposal,Mining in Sierra Leone,Darin Christensen,PI: Jihae Hong,4/24/2025,0,1,Sierra Leone,0,Allocation,4/25/2025
POR-22-10005: Pilot on Strengthening Whole Child Development (Kenya and Uganda),Porticus,Grant Award,IPA's Policy engagement with Porticus in Kenya and Uganda,,,3/2/2022,1,1,Kenya,0,Allocation,11/1/2022
POR-22-10005: Pilot on Strengthening Whole Child Development (Kenya and Uganda),Porticus,Grant Award,IPA's Policy engagement with Porticus in Kenya and Uganda,,,3/2/2022,1,1,Kenya,0,Allocation,11/1/2022
COVID Vaccine Uptake Research in Tanzania,Social Science Research Council,Grant Proposal,COVID Vaccine Uptake Research in Tanzania,Laura Kwong,,2/28/2022,0,1,Tanzania,0,Allocation,3/2/2022
COVID Vaccine Uptake Research in Tanzania,Social Science Research Council,Grant Proposal,COVID Vaccine Uptake Research in Tanzania,Laura Kwong,,2/28/2022,0,1,Tanzania,0,,3/2/2022
IDB-22-10042 - Conectar para Educar (Colombia),Inter-American Development Bank (IDB),Grant Award,Conectar para Educar Colombia (CpE),,,3/2/2022,1,1,Colombia,0,Allocation,3/2/2022
IDB-22-10042 - Conectar para Educar (Colombia),Inter-American Development Bank (IDB),Grant Award,Conectar para Educar Colombia (CpE),,,3/2/2022,1,1,Colombia,0,Allocation,3/2/2022
Yewande's Study on International Trade,University of Houston,Grant Proposal,Yewande's Study on International Trade,Yewande Olapade,,3/10/2022,0,1,Kenya,0,,3/10/2022
"Program to End Modern Slavery (PEMS) Proposal, Kenya",United States Department of State,Grant Proposal,Program to End Modern Slavery Project in Kenya,,,3/10/2022,0,1,Kenya,0,,3/10/2022
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,NYU-Praxis (India),Meredith Dank,,9/1/2020,1,1,,1,External Subaward,9/1/2020
IKEA-22-10004: IKEA BOMA Project LIFT Evaluation(Kenya),IKEA Foundation,Grant Award,BOMA IKEA LIFT Evaluation,,,8/12/2022,1,1,Kenya,0,Allocation,11/30/2022
Wellcome Trust Global health burden,Wellcome Trust,Grant Proposal,Global health burden of exploitative work in Myanmar,,,3/18/2022,0,1,Myanmar,0,Allocation,3/18/2022
"IKEA-22-10002:Evaluation of AGRA ?Building Regenerative, Sustainable & Profitable Agric. Transformative Systems? (Kenya)",IKEA Foundation,Grant Award,AGRA Evaluation for the Regenerative Pulses Program in Kenya,Nathan Fiala,PI: Simon Wagura Ndiritu,3/17/2022,1,1,Kenya,0,Allocation,8/25/2022
"AGRA Evaluation - Expanded Midline and Endline, Kenya",IKEA Foundation,Grant Proposal,AGRA Evaluation for the Regenerative Pulses Program in Kenya,Nathan Fiala,PI: Simon Wagura Ndiritu,8/31/2023,0,1,Kenya,0,Allocation,8/31/2023
Survey Experiment on Digitalization,WZB Berlin Social Science Center,Grant Proposal,Survey Experiment on Digitalization,,,3/14/2022,0,1,Kenya,0,Allocation,3/14/2022
Mama Tips: Debunking COVID-19 Vaccine Misinformation Among Pregnant and Postpartum Women in Kenya - Mercury Project,"University of California, Los Angeles",Grant Proposal,Mama Tips,,,3/15/2022,0,1,Kenya,0,Allocation,3/15/2022
BMG-21-10009_ Monitoring the Real Cost of Domestic Payments (Transaction Cost Index),Gates Foundation,Grant Award,Findex Forecasting Survey,Seth Garz,,10/12/2021,1,1,,0,Allocation,11/11/2021
Skills Mismatch Among Female Healthcare Workers in the Philippines,Massachusetts Institute of Technology (MIT),Grant Proposal,Skills Mismatch Among Female Healthcare Workers in the Philippines,,,4/11/2022,0,1,Philippines,0,Allocation,4/11/2022
ITAM-22-10002: Criminal Investigators Technical Assistance and Certification (Mexico),Instituto Tecnológico Autónomo de México (ITAM),Grant Award,Criminal Investigators Technical Assistance and Certification,Rodrigo Canales,,2/14/2022,1,1,Mexico,0,Allocation,11/16/2022
Analyst Training,Instituto Tecnológico Autónomo de México (ITAM),Grant Proposal,Mexico Analyst Training,Rodrigo Canales,,2/15/2022,0,1,Mexico,0,Allocation,2/15/2022
Research and Innovation in Mental Health,The Agency Fund,Grant Proposal,Research and Innovation in Mental Health,Rodrigo Canales,,1/3/2022,0,1,Mexico,0,Allocation,1/3/2022
BRN-22-10002: Contraceptives UNZA (Zambia),Brown University,Grant Award,Contraceptives UNZA,,,1/26/2022,1,1,Zambia,0,Allocation,11/29/2022
NWU-23-10030: NWU Teacher resiliency pilot (Ghana),Northwestern University,Grant Award,Teacher Resiliency Project,Christopher Udry,"PI: Angela Ofori-Atta , Andre J Nickow",6/12/2023,1,1,Ghana,0,Allocation,9/1/2023
NWU - Teacher Resilience Project,Northwestern University,Grant Proposal,Teacher Resiliency Project,Christopher Udry,"PI: Angela Ofori-Atta , Andre J Nickow",1/31/2025,0,1,Ghana,0,Allocation,1/21/2025
Agency Fund- TRP Scale Up,The Agency Fund,Grant Proposal,Teacher Resiliency Project,Christopher Udry,"PI: Angela Ofori-Atta , Andre J Nickow",10/31/2024,0,1,Ghana,0,Allocation,10/31/2024
BOS-22-10005: GDS Foundation for Youth FORWARD Sierra Leone,Boston College,Grant Award,Youth FORWARD Follow-Up,Theresa Betancourt,"PI: Robert Brennan , Nathan Hansen , Alethea Desrosiers , Tamora Callands , Jordan Farrar",2/2/2022,1,1,Sierra Leone,0,Allocation,12/16/2022
BOS-22-10004: Imaginable Futures for Youth FORWARD (Sierra Leone),Boston College,Grant Award,Youth FORWARD Follow-Up,Theresa Betancourt,"PI: Robert Brennan , Nathan Hansen , Alethea Desrosiers , Tamora Callands , Jordan Farrar",8/18/2021,1,1,Sierra Leone,0,Allocation,2/17/2022
FID YRI Follow-up,Fund for Innovation in Development (FID),Grant Proposal,Youth FORWARD Follow-Up,Theresa Betancourt,"PI: Robert Brennan , Nathan Hansen , Alethea Desrosiers , Tamora Callands , Jordan Farrar",6/23/2021,0,1,Sierra Leone,0,Allocation,6/29/2021
CIS-19-10001: Cisco Global Impact Grant - PPI Alliance Year 4 (PPI),Cisco Systems Foundation,Grant Award,Poverty Measurement Department (PPI),,,5/15/2019,1,1,,0,Allocation,6/6/2019
LIFT-19-10001: Myanmar PPI Update and Training (PPI),Livelihoods and Food Security Fund,Grant Award,Poverty Measurement Department (PPI),,,2/6/2018,1,1,,0,Allocation,1/2/2019
MCF0001: MasterCard Foundation - PPI Alliance Institutional Support Partnership (PPI),Mastercard Foundation,Grant Award,Poverty Measurement Department (PPI),,,7/15/2016,1,1,,0,Allocation,11/14/2016
ADRA-20-10001 ADRA Madagascar PPI,Adventist Development and Relief Agency (ADRA),Grant Award,Poverty Measurement Department (PPI),,,6/16/2020,1,1,,0,Allocation,6/16/2020
60dB-20-10002 60 Decibels Custom Scorecards,60 Decibels,Grant Award,Poverty Measurement Department (PPI),,,6/16/2020,1,1,,0,Allocation,6/17/2020
CDCG-21-10001 Poverty Proxy Assessment,CDC Group,Grant Award,Poverty Measurement Department (PPI),,,8/27/2021,1,1,,0,Allocation,11/16/2021
Compassion-22-10001 Compassion International PPI Score Cards,Compassion International,Grant Award,Poverty Measurement Department (PPI),,,11/1/2021,1,1,,0,Allocation,11/11/2021
Compassion-19-10001: Compassion Int'l - PPI Alliance (United states),Compassion International,Grant Award,Poverty Measurement Department (PPI),,,1/23/2019,1,1,,0,Allocation,6/30/2019
60dB-22-10004: Living wage assessments for cocoa farmers in Ghana and Cote d?Ivoire,60 Decibels,Grant Award,Poverty Measurement Department (PPI),,,5/25/2022,1,1,,0,Allocation,6/1/2022
ADRA-24-10002: ADRA 24 - DRC PPI,Adventist Development and Relief Agency (ADRA),Grant Award,Poverty Measurement Department (PPI),,,5/6/2024,1,1,,0,Allocation,5/6/2024
60dB-25-10009: 60db 2025 PPI Development,60 Decibels,Grant Award,Poverty Measurement Department (PPI),,,5/30/2025,1,1,,0,Allocation,8/27/2025
MCPI PPI Development,"Microfinance Council of the Philippines, Inc.",Grant Award,Poverty Measurement Department (PPI),,,7/10/2025,1,1,,0,Allocation,7/10/2025
Compassion-25-10006: Compassion International - 2025 Service Agreement,Compassion International,Grant Award,Poverty Measurement Department (PPI),,,5/30/2025,1,1,,0,Allocation,6/28/2025
NWU-22-10018: Northwestern funding for Financial Technology Adoption for small retailers (Mexico),Northwestern University,Grant Award,Financial Technology Adoption for small retailers in Mexico,Sean Higgins,,3/28/2022,1,1,Mexico,0,Allocation,5/10/2022
CWM-22-10001: RCT Ad-Supported Smartphones (Uganda),The College of William and Mary,Grant Award,Effective strategies to reduce the smartphone gender gap in Uganda,Philip Roessler,,5/27/2022,1,1,Uganda,0,Allocation,8/19/2022
World Bank Enterprise Survey,World Bank,Grant Proposal,WB Enterprise Survey - Ghana,,,2/14/2022,0,1,Ghana,0,Allocation,2/14/2022
Somalia Forecast Project,"University of California, Santa Cruz",Grant Proposal,Somalia Forecast Project,Jonathan Robinson,,3/29/2022,0,1,Kenya,0,Allocation,3/25/2022
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,Social Networks and Safety,Ignacio Rodriguez,PI: Fernanda Sobrino,9/1/2020,1,1,Mexico,0,Internal Subaward,9/1/2020
YAL-21-10009: Workforce Development Solutions at Scale,Yale University,Grant Award,Policy work- Workforce Development Solutions,,,8/23/2021,1,1,,0,Allocation,6/3/2022
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,EPSD Program Consolidation research,,,5/15/2018,1,1,,0,Allocation,7/26/2018
WBK-22-20149: World Bank Livelihoods Support Intervention (Nigeria),World Bank,Grant Award,World Bank Livelihood Evaluation,Julia Vaillant,,2/17/2022,1,1,Nigeria,1,Allocation,8/18/2022
WBK-23-20164: World Bank Livelihoods Support Intervention Follow Up (Nigeria),World Bank,Grant Award,World Bank Livelihood Evaluation,Julia Vaillant,,4/27/2023,1,1,Nigeria,1,Allocation,6/9/2023
WBK-24-20169: World Bank Livelihood Follow Up II (Nigeria),World Bank,Grant Award,World Bank Livelihood Evaluation,Julia Vaillant,,5/21/2024,1,1,Nigeria,1,Allocation,8/1/2024
BMG-20-10005 Evaluating New Deployments of L1P-aligned Payments Systems,Gates Foundation,Grant Award,Elasticity of Demand of Interoperable Payments in the Philippines,Russell Toth,"PI: Joaquin Emmanuel J Gonzales , Tiffany Tsai , Philip Roessler",8/14/2020,1,1,Philippines,0,Allocation,11/5/2020
UNDP Household survey on the Impact of COVID-19 on SDGs,United Nations Development Program (UNDP),Grant Award,COVID-19 Impact on SDGs,,,4/11/2022,1,1,Philippines,0,Allocation,4/18/2022
Metaketa Collaboration,Evidence in Governance and Politics,Grant Proposal,Metaketa Collaboration,Cecilia Hyunjung Mo,,8/23/2021,0,1,Nigeria,0,Allocation,8/23/2021
Metaketa Collaboration,International Food Policy Research Institute (IFPRI),Grant Award,Metaketa Collaboration,Cecilia Hyunjung Mo,,5/6/2022,1,1,Nigeria,0,Allocation,5/6/2022
Governance Initiative (GI) Full Study Proposal for SL Elections 2023,Massachusetts Institute of Technology (MIT),Grant Proposal,Sierra Leone Elections 2023,Katherine Casey,"PI: Andres Felipe Rodriguez , Niccolo Francesco Meriggi , Abou Bakarr Kamara , Pablo Guzman Lizardo",9/23/2022,0,1,Sierra Leone,0,Allocation,9/23/2022
NSF for Sierra Leone Elections 2023,National Bureau of Economic Research (NBER),Grant Proposal,Sierra Leone Elections 2023,Katherine Casey,"PI: Andres Felipe Rodriguez , Niccolo Francesco Meriggi , Abou Bakarr Kamara , Pablo Guzman Lizardo",8/18/2022,0,1,Sierra Leone,0,Allocation,8/18/2022
IGC-22-20030: IGC for SL Elections 2023 (Sierra Leone),International Growth Centre (IGC),Grant Award,Sierra Leone Elections 2023,Katherine Casey,"PI: Andres Felipe Rodriguez , Niccolo Francesco Meriggi , Abou Bakarr Kamara , Pablo Guzman Lizardo",12/9/2021,1,1,Sierra Leone,0,Allocation,11/3/2022
MIT-22-20084: Governance Initiative (GI) for SL Elections 2023 (Sierra Leone),Massachusetts Institute of Technology (MIT),Grant Award,Sierra Leone Elections 2023,Katherine Casey,"PI: Andres Felipe Rodriguez , Niccolo Francesco Meriggi , Abou Bakarr Kamara , Pablo Guzman Lizardo",12/7/2021,1,1,Sierra Leone,0,Allocation,7/20/2022
STA-22-10012: Stanford for SL Elections 2023 (Sierra Leone),Stanford University,Grant Award,Sierra Leone Elections 2023,Katherine Casey,"PI: Andres Felipe Rodriguez , Niccolo Francesco Meriggi , Abou Bakarr Kamara , Pablo Guzman Lizardo",7/22/2022,1,1,Sierra Leone,0,Allocation,9/28/2022
USAID CELGA for SL Elections 2023,United States Agency for International Development (USAID),Grant Proposal,Sierra Leone Elections 2023,Katherine Casey,"PI: Andres Felipe Rodriguez , Niccolo Francesco Meriggi , Abou Bakarr Kamara , Pablo Guzman Lizardo",6/26/2022,0,1,Sierra Leone,0,Allocation,6/27/2022
STA-23-10015 - Stanford PO #2 for SL Elections 2023 (Sierra Leone),Stanford University,Grant Award,Sierra Leone Elections 2023,Katherine Casey,"PI: Andres Felipe Rodriguez , Niccolo Francesco Meriggi , Abou Bakarr Kamara , Pablo Guzman Lizardo",3/13/2023,1,1,Sierra Leone,0,Allocation,4/3/2023
STA-25-10021: 2024 Stanford PO for SL Elections (Sierra Leone),Stanford University,Grant Award,Sierra Leone Elections 2023,Katherine Casey,"PI: Andres Felipe Rodriguez , Niccolo Francesco Meriggi , Abou Bakarr Kamara , Pablo Guzman Lizardo",10/29/2024,1,1,Sierra Leone,0,Allocation,1/10/2025
IGC SPF for Local Champions (Women in Politics),International Growth Centre (IGC),Grant Proposal,Sierra Leone Elections 2023,Katherine Casey,"PI: Andres Felipe Rodriguez , Niccolo Francesco Meriggi , Abou Bakarr Kamara , Pablo Guzman Lizardo",5/31/2024,0,1,Sierra Leone,0,Allocation,5/27/2024
MIT-22-20094 - Gender Norms and Fatherhood (Mexico),Massachusetts Institute of Technology (MIT),Grant Award,Gender Norms and Fatherhood,Maria Elisa Failache,,4/11/2022,1,1,Mexico,0,Allocation,7/17/2023
WBK-22-20151: Technical assistance to the Senegalese Observatory of the Quality of Financial Services (OQSF),World Bank,Grant Award,Technical assistance to the Senegalese Observatory,,,3/11/2022,1,1,Francophone West Africa,0,Allocation,5/6/2022
IGC Labor Demand,International Growth Centre (IGC),Grant Proposal,LDP,Nathan Fiala,,4/29/2022,0,1,Kenya,0,Allocation,4/29/2022
UCB-23-20022: Impact of Digital Credit Innovations on Low-Income Women in Nigeria (Nigeria),"University of California, Berkeley",Grant Award,Impact of Digital Credit on Low-Income Women in Nigeria,,,7/15/2022,1,1,Nigeria,0,Allocation,2/15/2023
SSRC1-22-10001: An mHealth Intervention to Combat COVID-19 Misinformation & Improve Vaccine Attitudes & Behavior (Ghana),Social Science Research Council,Grant Award,Combating COVID Misinformation,Mylene Lagarde,"PI: Hubert Amu , Marta Grabowska",5/16/2022,1,1,Ghana,0,Allocation,7/28/2022
SSRC1-22-10001: An mHealth Intervention to Combat COVID-19 Misinformation & Improve Vaccine Attitudes & Behavior (Ghana),Social Science Research Council,Grant Award,Combating COVID Misinformation,Mylene Lagarde,"PI: Hubert Amu , Marta Grabowska",5/16/2022,1,1,Ghana,0,External Subaward,7/28/2022
NI-22-10002: Nutrition International - Post-Event Coverage Survey (NI-PECS) -TOGO,Nutrition International,Grant Award,Nutrition International - Post-Event Coverage Survey (NI-PECS) -TOGO,,,2/21/2022,1,1,Francophone West Africa,0,Allocation,6/9/2022
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Displaced Livelihoods Initiative - Global Project,,,4/29/2022,1,1,,0,Allocation,11/18/2022
FID for STYL Scale Up Support,Fund for Innovation in Development (FID),Grant Proposal,STYL scale-up support,,,11/9/2023,0,1,Sierra Leone,0,Allocation,11/9/2023
NEPI-Inc-23-10001: STYL year 1 scale-up support,"Network for Empowerment & Progressive Initiatives ? NEPI, Inc.",Grant Award,STYL scale-up support,,,3/3/2023,1,1,Sierra Leone,0,Allocation,4/3/2023
STYL Liberia Scale-Up TA & Nigeria Pilot - DIV,"National Ex-Combatant Peacebuilding Initiative (NEPI), Liberia",Grant Award,STYL scale-up support,,,2/16/2024,1,1,Sierra Leone,0,Allocation,2/16/2024
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative- Rwanda,,,5/11/2022,1,1,Rwanda,0,External Subaward,8/17/2022
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative- Rwanda,,,5/11/2022,1,1,Rwanda,0,Allocation,8/17/2022
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,Stanford University (Bangladesh),Grant Miller,,9/1/2020,1,1,,1,External Subaward,9/1/2020
2023 Hilton ECD Evaluation - Kenya,Conrad N. Hilton Foundation,Grant Proposal,Hilton ECD Evaluation Project,,,3/23/2023,0,1,Kenya,0,Allocation,3/23/2023
DLI - Refugee Representation: Strengthening Inclusion and Agency through Parental Engagement in Schools,Harvard University,Grant Proposal,Refugee Representation Public education and local civil society,Shelby Carvalho,,7/21/2023,0,1,Kenya,0,Allocation,7/21/2023
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Refugee Representation Public education and local civil society,Shelby Carvalho,,4/29/2022,1,1,Kenya,0,Internal Subaward,11/18/2022
FSDT-23-10001: TZ FinScope Qualitative Component (Tanzania),Financial Sector Deepening Trust,Grant Award,TZ FinScope Qualitative Component,Philip Roessler,,3/1/2023,1,1,Tanzania,0,Allocation,10/23/2023
FSDT-23-10001: TZ FinScope Qualitative Component (Tanzania),Financial Sector Deepening Trust,Grant Award,TZ FinScope Qualitative Component,Philip Roessler,,3/1/2023,1,1,Tanzania,0,External Subaward,10/23/2023
COU-22-10006: The Effects of Community Media on Social Attitudes and Norms in Tanzania,Columbia University,Grant Award,Community Media III Boda Boda and Pangani Community Surveys,Donald Green,"PI: Beatrice Montano , Dylan Groves",2/8/2022,1,1,Tanzania,0,Allocation,9/30/2022
Improving Teaching and Early-Grade Learning in Ghana,Massachusetts Institute of Technology (MIT),Grant Proposal,Quality Coaching for Literacy and Numeracy (QCLN),Carol Scheffner,PI: Sharon Wolf,10/31/2023,0,1,Ghana,0,Allocation,11/7/2023
BMG-23-10014: IPA Ghana Teacher Professional Development (Ghana),Gates Foundation,Grant Award,Quality Coaching for Literacy and Numeracy (QCLN),Carol Scheffner,PI: Sharon Wolf,7/21/2023,1,1,Ghana,0,Allocation,11/16/2023
Palladium Fund - mEducation,Palladium International Limited,Grant Proposal,mEducation Scale-up in the Philippines,,,10/27/2023,0,1,Philippines,0,Allocation,10/27/2023
Agency Fund mEducation Scale Up,The Agency Fund,Grant Proposal,mEducation Scale-up in the Philippines,,,9/29/2023,0,1,Philippines,0,Allocation,9/29/2023
J-PAL LAI - mEducation Scale Up in the Philippines,Massachusetts Institute of Technology (MIT),Grant Proposal,mEducation Scale-up in the Philippines,,,5/12/2023,0,1,Philippines,0,Allocation,5/12/2023
YLove-24-10003: Targeted Learning Interventions in the Philippines,Youth Impact (formerly Young 1ove),Grant Award,mEducation Scale-up in the Philippines,,,8/30/2024,1,1,Philippines,0,Allocation,11/14/2024
MIT-24-20108: LAI Scaling - mEducation Scale Up In the Philippines,Massachusetts Institute of Technology (MIT),Grant Award,mEducation Scale-up in the Philippines,,,8/16/2024,1,1,Philippines,0,Allocation,5/23/2025
J-PAL IGI - Scaling mEducation (Philippines),Massachusetts Institute of Technology (MIT),Grant Award,mEducation Scale-up in the Philippines,,,4/14/2025,1,1,Philippines,0,Allocation,4/14/2025
WEI-24-10004: WU for Intergroup Trust in Fragile Settings in Mali,Washington University in St. Louis,Grant Award,Intergroup Trust in Fragile Settings in Mali,William Nomikos,,4/3/2023,1,1,Francophone West Africa,0,Allocation,11/27/2024
IFP-23-10011: IFPRI April 2023: Understanding losses across potato value chain - Potato Value Chain Project (Kenya),International Food Policy Research Institute (IFPRI),Grant Award,Potato Value Chain Project,Luciana Delgado,,4/12/2023,1,1,Kenya,0,Allocation,4/10/2023
Digital Agricultural Innovations and Services Initiative (DAISI),Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Strengthening Rural Youths Development through Digital Agricultural Innovations,,,4/11/2023,0,1,Malawi,0,Allocation,4/11/2023
BMG-19-10001 FIP Consumer Protection,Gates Foundation,Grant Award,Detecting and preventing commission and account opening overcharging - Uganda,Tomoki Fujii,PI: Abu S. Shonchoy,8/29/2019,1,1,Uganda,0,Internal Subaward,10/30/2019
Fair Price,"Institute of Statistical, Social and Economic Research (ISSER)",Grant Proposal,Fair Price,,,3/31/2023,0,1,Nigeria,0,Allocation,3/31/2023
Women's World Banking Digital Remittances,Women's World Banking,Grant Proposal,Women's World Banking Digital Remittances,,,3/30/2023,0,1,Nigeria,0,Allocation,3/30/2023
PEMS Proposal: Achieving Trauma-Informed Child Protective Prosecution of OSEC Incidents,United States Department of State,Grant Proposal,Achieving Trauma-Informed Child Protective Prosecution of OSEC Incidents,,,4/20/2023,0,1,Philippines,0,Allocation,4/21/2023
University Partnership- UDS-IPA-NWU partnership _US Embassy in Ghana,United States Department of State,Grant Proposal,University Partnerships - US Embassy in Ghana,Christopher Udry,,4/21/2023,0,1,Ghana,0,Allocation,4/21/2023
LEGO-22-10007: LEGO Embedded Labs,LEGO Foundation,Grant Award,Embedded lab Uganda,,,6/8/2022,1,1,Uganda,0,Allocation,10/27/2022
Sesame-23-10006 - Play Every Day Process Evaluation (Mexico),Sesame Workshop,Grant Award,Play Every Day Process Evaluation,,PI: Juan Manuel Hernández-Agramonte,3/27/2023,1,1,Mexico,0,Allocation,8/30/2023
MPP-23-10002 Census CITE (Peru),"Ministry of Production, Peru",Grant Award,Census CITE,Stanislao Maldonado,,4/24/2023,1,1,Peru,0,Allocation,4/24/2023
CGD-24-10002: CGD for Long-term follow-up to early grade interventions,Center for Global Development,Grant Award,CDG Mali long term return,,,6/6/2023,1,1,Francophone West Africa,0,Allocation,1/22/2024
World Bank Edo Global Education Policy Dashboard,World Bank,Grant Proposal,Edo Global Education Policy Dashboard,,,4/26/2023,0,1,Nigeria,0,Allocation,4/26/2023
Food Banking,Citi Foundation,Grant Proposal,Food Banking,,,3/23/2023,0,1,Ghana,0,Allocation,3/23/2023
BMG-23-10011: META-ANALYSIS OF EFFECTIVENESS OF ENTREPRENEURSHIP INTERVENTIONS FOR WOMEN,Gates Foundation,Grant Award,Evidence Syntheses and meta-analysis- capital and women's livelihoods,,,1/13/2023,1,1,,0,External Subaward,5/22/2023
BMG-23-10011: META-ANALYSIS OF EFFECTIVENESS OF ENTREPRENEURSHIP INTERVENTIONS FOR WOMEN,Gates Foundation,Grant Award,Evidence Syntheses and meta-analysis- capital and women's livelihoods,,,1/13/2023,1,1,,0,Allocation,5/22/2023
JPAL Learning for All - Luoto Garcia,Massachusetts Institute of Technology (MIT),Grant Proposal,Msingi Bora (Luoto/Garcia),,,5/12/2023,0,1,Kenya,0,Allocation,5/12/2023
CEFI Financial Deepening,Abt Associates,Grant Proposal,CEFI Financial Deepening,,,5/19/2023,0,1,Philippines,0,Allocation,5/19/2023
NWU-22-10022 - Northwestern 2022-2023 GPRL ASOS (Global),Northwestern University,Grant Award,Sector Programs Department,,,8/7/2022,1,1,,0,Allocation,9/29/2022
NWU-22-10022 - Northwestern 2022-2023 GPRL ASOS (Global),Northwestern University,Grant Award,Sector Programs Department,,,8/7/2022,1,1,,0,Allocation,9/29/2022
BMG-21-10009_ Monitoring the Real Cost of Domestic Payments (Transaction Cost Index),Gates Foundation,Grant Award,Providing evidence-based recommendations to Nigeria Entrepreneurship PAC,,,10/12/2021,1,1,Nigeria,0,Allocation,11/11/2021
WBK-23-20163: Test Indicators to Measure Women?s Economic Empowerment (WEE) in Financial Inclusion,World Bank,Grant Award,Test Indicators to Measure Women?s Economic Empowerment (WEE),,,5/4/2023,1,1,,0,Allocation,6/16/2023
CGD-24-10002: CGD for Long-term follow-up to early grade interventions,Center for Global Development,Grant Award,TCAI Long Term Follow Up,,,6/6/2023,1,1,Ghana,0,Allocation,1/22/2024
"Long-Term Follow Ups to Randomised Trials of Early-Grade, School-Based Interventions, Ghana",Center for Global Development,Grant Proposal,TCAI Long Term Follow Up,,,5/9/2023,0,1,Ghana,0,Allocation,5/9/2023
Yale 2023 Tharaka Nithi County Government Creche Project,Yale University,Grant Proposal,Creche education ande WEE RCT in Tharaka Nithi,,,5/24/2023,0,1,Kenya,0,Allocation,5/24/2023
UCH-23-10021 -New Proposal for Teacher based intervention in JEC (Peru),University of Chicago,Grant Award,Oportunidades para Todos,Christopher Campos,PI: Joan Martinez Palomino,5/2/2023,1,1,Peru,0,Allocation,10/13/2023
J-PAL SPI: Mitigating climate risk through parametric insurance,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Mitigating climate risk through parametric insurance,,,9/1/2023,0,1,Philippines,0,Allocation,9/1/2023
Proposal for Mitigating climate risk through parametric insurance,Susanna Berkouwer Org,Grant Proposal,Mitigating climate risk through parametric insurance,,,5/26/2023,0,1,Philippines,0,Allocation,5/29/2023
Social Support for Resilient Livelihoods Project,Government of Malawi,Grant Proposal,Social Support for Resilient Livelihoods Project,,,5/19/2023,0,1,Malawi,1,Allocation,5/19/2023
Boston University proposal on Mpesa exploratory work in Kenya,Boston University,Grant Proposal,Boston University's Mobile Money Project in Kenya,,,5/25/2023,0,1,Kenya,0,Allocation,5/25/2023
SUMMA-23-10003 Teacher Professional Development - Atentamente (Mexico),SUMMA,Grant Award,Teacher Professional Development - Atentamente,,,5/31/2023,1,1,Mexico,0,Allocation,1/8/2024
UNWFP Resilience and Risk Perception Survey,United Nations World Food Programme,Grant Proposal,UNWFP Absorptive Capacity & Risk Perception Study,,,10/10/2023,0,1,Philippines,0,Allocation,10/10/2023
UNWFP Absorptive Capacity & Risk Perception Study,United Nations World Food Programme,Grant Proposal,UNWFP Absorptive Capacity & Risk Perception Study,,,6/29/2023,0,1,Philippines,0,Allocation,6/29/2023
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,TZ Human Trafficking Research Initiative (HTRI) Seed Grant Round 3,Julia Kleinewiese,PI: Sandra Morgenstern,9/1/2020,1,1,Tanzania,0,External Subaward,9/1/2020
PEMS SinTrata Digital Certification Research,United States Department of State,Grant Proposal,SinTrata Digital Certification Research Study,,,4/25/2023,0,1,Mexico,0,Allocation,4/25/2023
